eval_grp,eval_grp_descr,spcd,spgrpcd,owngrpcd,unitcd,agentcd,dstrbcd1,dstrbcd2,dstrbcd3,attribute_nbr,attribute_descr,estimate,se_of_estimate_pct,se_of_estimate,var_of_estimate,total_plots,non_zero_plots,tot_pop_ac
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,2,80,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,947,0,5645839.49
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,10,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,12,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,22,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,30,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,31,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,46,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,46,31,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,46,60,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,52,12,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,80,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,,80,80,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,30,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",89564.5578064575,101.591474628247,90989.9550198488,8279171914.51411,1746,1,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,30,31,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,40,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,50,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",15892.8893145857,101.591474628247,16145.8206157227,260687523.355096,1746,1,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,60,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",181107.315965252,61.0487527731125,110563.757577647,12224344489.6886,1746,4,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,60,46,31,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",17481.139266808,99.4497043630848,17384.9413201397,302236184.7047,1746,1,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,60,60,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,80,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,3,80,30,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1746,0,10522169.08
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,4,,0,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1048,0,6305090.57
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,4,,12,22,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1048,0,6305090.57
132021,"GEORGIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",68.0,9,40,4,,22,0,0,574157,"Average annual mortality of sound bole wood volume of trees (timber species at least 5 inches d.b.h.), in cubic feet, on forest land",0.0,0.0,0.0,0.0,1048,0,6305090.57
