SPCD,hw_sw,fia_wood_c
6331,softwood,47.865
6337,hardwood,47.48
6338,hardwood,47.48
6341,hardwood,47.48
6342,hardwood,47.55
6343,hardwood,47.31109
6344,hardwood,47.795
6345,hardwood,47.31109
6346,hardwood,47.48
6347,hardwood,47.55
6350,hardwood,47.48
6351,hardwood,47.48
6352,hardwood,47.48
6353,hardwood,47.48
6354,hardwood,47.48
6355,hardwood,47.48
6356,hardwood,47.48
6358,hardwood,47.48
6359,hardwood,47.48
6360,hardwood,47.48
6366,hardwood,48.005
6367,hardwood,48.005
6370,hardwood,47.48
6372,hardwood,47.585
6373,hardwood,47.585
6374,hardwood,47.341225
6375,hardwood,47.585
6377,hardwood,47.585
6378,hardwood,47.41
6379,hardwood,47.76
6380,hardwood,47.48
6381,hardwood,46.77167
6383,hardwood,47.48
6384,hardwood,47.48
6386,hardwood,47.48
6387,hardwood,47.48
6389,hardwood,47.48
6390,hardwood,47.48
6393,hardwood,47.48
6395,hardwood,47.48
6396,hardwood,48.74
6397,hardwood,47.55
6398,hardwood,47.55
6399,hardwood,47.62
6400,hardwood,47.62
6401,hardwood,47.62
6402,hardwood,47.48
6403,hardwood,47.48
6405,hardwood,47.13028
6406,hardwood,47.48
6407,hardwood,47.48
6408,hardwood,47.13028
6410,hardwood,47.48
6415,hardwood,47.48
6417,hardwood,47.48
6418,hardwood,47.48
6419,hardwood,47.48
6420,hardwood,47.964
6422,hardwood,46.815
6425,hardwood,47.48
6427,hardwood,47.48
6429,hardwood,47.48
6430,hardwood,46.75
6433,hardwood,47.48
6434,hardwood,43.2
6437,hardwood,46.40704
6438,hardwood,47.50333333
6439,hardwood,47.48
6441,hardwood,44.02666667
6443,hardwood,47.48
6444,hardwood,48.1576
6445,hardwood,43.12857143
6447,hardwood,47.48
6448,hardwood,47.48
6449,hardwood,42.67428571
6452,hardwood,47.55
6454,hardwood,47.48
6457,hardwood,47.48
6458,hardwood,39.578
6459,hardwood,47.96923
6460,hardwood,47.943925
6461,hardwood,47.97
6462,hardwood,48.32
6463,hardwood,47.96923
6468,hardwood,47.48
6469,hardwood,47.48
6470,hardwood,47.41
6472,hardwood,49.82
6473,hardwood,47.76
6474,hardwood,47.48
6475,hardwood,47.48
6477,hardwood,47.48
6478,hardwood,47.76
6479,hardwood,47.095
6480,hardwood,47.48
6481,hardwood,47.48
6482,hardwood,47.61244
6483,hardwood,47.61244
6492,hardwood,47.61244
6493,hardwood,47.61244
6494,hardwood,47.61244
6495,hardwood,47.61244
6496,hardwood,47.61244
6497,hardwood,47.62
6498,hardwood,47.62
6499,hardwood,47.62
6500,hardwood,47.62
6503,hardwood,47.62
6504,hardwood,47.62
6507,hardwood,47.655
6508,hardwood,47.655
6509,hardwood,47.655
6510,hardwood,47.655
6511,hardwood,47.48
6513,hardwood,47.655
6514,hardwood,47.655
6516,hardwood,50.19278651
6517,hardwood,47.55
6518,hardwood,47.55
6519,hardwood,47.48
6520,hardwood,47.48
6521,hardwood,47.48
6522,hardwood,47.48
6523,hardwood,47.48
6524,hardwood,47.3925
6525,hardwood,46.955
6526,hardwood,47.48
6528,hardwood,47.48
6529,hardwood,47.45
6532,hardwood,47.48
6533,softwood,48.04777778
6535,hardwood,47.48
6538,softwood,48.04777778
6539,hardwood,47.48
6541,hardwood,43.96
6542,hardwood,47.48
6543,hardwood,47.48
6545,hardwood,48.565
6546,hardwood,48.635
6547,hardwood,48.53
6548,hardwood,48.565
6549,hardwood,48.565
6552,hardwood,47.41
6553,hardwood,47.41
6554,hardwood,47.48
6555,hardwood,47.69
6557,hardwood,47.655
6559,hardwood,47.48
6560,hardwood,47.48
6561,hardwood,47.655
6562,hardwood,47.655
6563,hardwood,47.655
6564,hardwood,47.48
6565,hardwood,47.48
6567,hardwood,47.48
6568,hardwood,47.025
6569,hardwood,47.48
6570,hardwood,47.26587
6572,hardwood,46.85
6573,hardwood,47.48
6574,hardwood,47.48
6575,hardwood,47.48
6576,hardwood,47.48
6577,hardwood,47.48
6578,hardwood,46.85
6579,hardwood,46.85
6580,hardwood,46.85
6581,hardwood,47.48
6582,hardwood,47.48
6583,hardwood,46.85
6584,hardwood,47.48
6586,hardwood,48.075
6588,hardwood,48.075
6589,hardwood,48.075
6590,hardwood,48.075
6591,hardwood,48.075
6592,hardwood,48.075
6593,hardwood,47.27
6594,hardwood,47.27
6595,hardwood,47.27
6596,hardwood,47.55
6597,hardwood,47.55
6601,hardwood,47.55
